tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5834.437482,130.696499,3149.303501,1818.098142,19.45,20,1,100,1.000552,0.498998,0.499404,1.003372,0.398702,0.299723,0.300934,0.498354,0.050076,0.200602,0.299514,0.49923,0.397554,0.050331,0.001839,0.000402,0.00043,0.001705,0.000239,0.000125,0.000127,0.000411,3e-06,7.3e-05,0.000148,0.000441,0.000277,1.3e-05
40,197,197,0,0,0,0,0,0,0,0,6394.979239,192.257718,3087.742282,2183.317456,39.26,40,2,100,1.000071,0.498836,0.499483,1.004327,0.398848,0.29961,0.30111,0.498512,0.050058,0.200483,0.299562,0.499282,0.397377,0.050291,0.001875,0.000406,0.000429,0.001875,0.000242,0.000126,0.000132,0.000414,3e-06,7.5e-05,0.000148,0.000439,0.000282,1.3e-05
60,202,202,0,0,0,0,0,0,0,0,6638.336839,232.537717,3047.462283,2354.543188,58.2,60,2,100,0.999928,0.498876,0.498749,1.003053,0.398699,0.299565,0.301383,0.498466,0.050002,0.200549,0.299546,0.499051,0.397496,0.050394,0.001897,0.00046,0.000478,0.001958,0.000249,0.000133,0.000142,0.000409,4e-06,7.7e-05,0.000149,0.000444,0.000307,1.4e-05
80,201,206,5,5,0,0,0,4,2.714747,0.0,6789.708226,233.941684,3043.343569,2421.824855,76.73,80,2,100,0.999473,0.499121,0.499254,1.002235,0.398343,0.299653,0.301435,0.498043,0.050036,0.200561,0.299747,0.498333,0.39683,0.050463,0.001848,0.000469,0.000451,0.001975,0.000249,0.000134,0.000141,0.000431,4e-06,7.6e-05,0.000152,0.000445,0.000312,1.5e-05
100,204,218,14,14,0,0,0,9,5.044989,0.0,6940.902396,231.663148,3043.291863,2446.837918,91.41,100,2,99,1.00034,0.500345,0.499219,1.001091,0.398681,0.299427,0.301166,0.498446,0.050108,0.200374,0.299698,0.498119,0.396663,0.050381,0.001916,0.000469,0.000489,0.002026,0.000241,0.000139,0.00016,0.000502,4e-06,8.6e-05,0.000156,0.000455,0.000313,1.5e-05
120,207,225,18,18,0,0,0,5,1.400756,0.0,7127.082662,237.275455,3041.323789,2454.915571,107.71,120,2,99,1.000354,0.500306,0.498845,1.000254,0.398547,0.299722,0.300988,0.499282,0.050077,0.200069,0.299229,0.498778,0.396882,0.050295,0.001939,0.000477,0.000498,0.001977,0.000229,0.000155,0.000156,0.000495,5e-06,8.5e-05,0.00013,0.000449,0.000314,1.5e-05
140,212,233,21,21,0,0,0,4,0.557337,0.0,7274.939912,245.079574,3034.363089,2456.873832,123.1,140,2,99,1.000735,0.500632,0.498315,0.999044,0.398611,0.299679,0.301186,0.499047,0.050074,0.199942,0.298815,0.497889,0.397202,0.050408,0.002104,0.000501,0.000492,0.002018,0.000232,0.000159,0.000154,0.00051,5e-06,8.7e-05,0.000141,0.000498,0.000321,1.5e-05
160,218,241,23,23,0,0,0,3,0.890941,0.0,7375.894907,252.705959,3026.4031,2456.117972,138.1,160,2,99,1.001868,0.501707,0.498307,0.998962,0.399104,0.299943,0.301312,0.499983,0.050043,0.199662,0.29911,0.497989,0.397423,0.050277,0.002116,0.000533,0.00051,0.002031,0.000239,0.000183,0.000157,0.000581,5e-06,9.3e-05,0.000154,0.000512,0.000317,1.5e-05
180,219,246,27,27,0,0,0,5,2.231816,0.0,7447.338897,255.433457,3022.334728,2454.521307,154.19,180,2,98,1.001791,0.501547,0.498573,0.999875,0.398956,0.300286,0.301295,0.499873,0.050029,0.199759,0.299288,0.49825,0.39757,0.050337,0.002111,0.000529,0.000519,0.002242,0.000259,0.000189,0.000165,0.000586,5e-06,9.2e-05,0.000157,0.000532,0.000321,1.6e-05
200,223,254,31,31,0,0,0,6,2.750409,0.0,7501.913688,259.082974,3018.166617,2453.407448,167.86,200,2,97,1.003079,0.502003,0.498858,0.99872,0.398617,0.300237,0.30123,0.500106,0.049987,0.199406,0.299343,0.49772,0.398158,0.050498,0.00234,0.00052,0.000526,0.002266,0.000265,0.0002,0.000167,0.000613,5e-06,0.000104,0.00017,0.000556,0.000361,1.7e-05
220,222,255,33,33,0,0,0,5,2.553385,0.0,7553.837858,263.397531,3014.049085,2451.870873,186.75,220,2,97,1.002373,0.502424,0.498675,0.998366,0.398915,0.300152,0.301189,0.500316,0.050012,0.199504,0.299576,0.498259,0.398098,0.050506,0.002401,0.000552,0.000532,0.002197,0.000265,0.000199,0.000167,0.000618,5e-06,0.000106,0.000181,0.000548,0.000362,1.7e-05
240,227,265,38,38,0,0,0,8,4.03978,0.0,7562.77273,263.820355,3012.139865,2452.31124,197.95,240,2,97,1.00032,0.5018,0.499587,0.997666,0.398479,0.300369,0.301158,0.499772,0.049916,0.199602,0.299451,0.498387,0.398386,0.050496,0.002391,0.000571,0.000565,0.002615,0.000317,0.000208,0.000172,0.000686,5e-06,0.000116,0.00019,0.0006,0.00036,1.9e-05
260,229,271,42,42,0,0,0,9,3.408534,0.0,7571.111194,266.461099,3010.130367,2451.080478,212.59,260,3,96,0.999558,0.501741,0.499707,0.997037,0.398606,0.30041,0.300935,0.499144,0.04988,0.199575,0.299448,0.497524,0.39885,0.050347,0.002364,0.000578,0.000563,0.00264,0.000318,0.000207,0.000172,0.000714,5e-06,0.000117,0.000193,0.000591,0.000371,1.9e-05
280,228,274,46,46,0,0,0,12,4.284212,0.0,7564.395087,268.126593,3007.589195,2449.49175,229.34,280,3,95,0.998356,0.501551,0.499155,0.996122,0.398357,0.300591,0.300895,0.499325,0.049906,0.199495,0.299604,0.497674,0.398501,0.050318,0.002322,0.000544,0.00056,0.002684,0.000334,0.000204,0.000176,0.000724,6e-06,0.000117,0.000188,0.000604,0.000356,1.9e-05
