tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,200,200,0,0,0,0,0,0,0,0,5645.997256,131.232542,3148.767458,1901.215657,19.47,20,1,100,24960.0,1981.962,2.9532,51.2325,0.0,0.0,0.0,0.0,0,0.01,0.996945,0.49712,0.500864,1.002652,0.399918,0.29906,0.299686,0.501236,0.049996,0.199397,0.298514,0.500673,0.401626,0.050149,0.001514,0.000353,0.000319,0.001747,0.000241,0.000161,0.000116,0.000403,4e-06,8.6e-05,0.000131,0.000373,0.000334,1.6e-05
40,201,201,0,0,0,0,0,0,0,0,5987.945735,195.037553,3084.962447,2291.01573,39.28,40,2,100,49920.0,3988.842,7.6461,115.0376,0.0,0.0,0.0,0.0,85,0.014925,0.996031,0.496739,0.500765,1.00273,0.400011,0.299045,0.299721,0.501592,0.050035,0.199441,0.298494,0.500612,0.401724,0.050192,0.001674,0.000381,0.000319,0.00174,0.000241,0.000161,0.000115,0.000426,4e-06,8.6e-05,0.00013,0.000372,0.000334,1.7e-05
60,213,213,0,0,0,0,0,0,0,0,6010.487227,237.263765,3042.736235,2475.065244,56.7,60,2,100,74880.0,6030.774,13.8814,157.2638,0.0,0.0,0.0,0.0,26,0.018779,0.995739,0.496779,0.501307,1.002573,0.399809,0.298931,0.29941,0.501089,0.050008,0.199387,0.298665,0.499787,0.402068,0.050027,0.001674,0.000408,0.000442,0.001895,0.000286,0.000178,0.000141,0.000451,5e-06,8.8e-05,0.000139,0.000431,0.00037,1.7e-05
80,216,219,3,3,0,0,0,3,3.464442,0.0,5939.346783,245.335391,3031.200167,2547.007127,74.75,80,2,100,99840.0,8103.366,23.1769,169.0718,0.0,0.0,0.0,0.0,52,0.023148,0.995093,0.496809,0.50097,1.001608,0.399891,0.299258,0.299788,0.500231,0.049969,0.199687,0.298925,0.499513,0.402254,0.050028,0.001622,0.000422,0.000441,0.001792,0.000301,0.000176,0.000143,0.000473,5e-06,9e-05,0.000146,0.000438,0.000358,1.9e-05
100,207,226,19,19,0,0,0,9,5.298416,0.0,5914.769702,236.453465,3038.248119,2571.632794,91.59,100,3,100,124800.0,10201.341,35.669,179.2332,0.0,0.0,0.0,0.0,26,0.024155,0.996519,0.496652,0.500963,1.001558,0.39916,0.299456,0.299252,0.499958,0.049856,0.199296,0.299095,0.498363,0.402415,0.05013,0.001666,0.00039,0.000425,0.001884,0.000263,0.000192,0.000154,0.000444,5e-06,8e-05,0.000144,0.000439,0.000355,1.9e-05
120,206,232,26,26,0,0,0,6,2.328701,0.0,5954.160223,237.252596,3040.418703,2577.957523,108.37,120,3,100,149760.0,12308.691,51.0707,188.4975,0.0,0.0,0.0,0.0,26,0.029126,0.996077,0.49643,0.500714,1.001701,0.399238,0.299546,0.299317,0.500275,0.04994,0.199114,0.299193,0.498191,0.402708,0.050093,0.001707,0.000384,0.000421,0.001866,0.000271,0.000192,0.000159,0.000479,5e-06,8e-05,0.000144,0.00047,0.000368,1.9e-05
140,205,241,36,36,0,0,0,9,5.889466,0.0,5985.083425,234.843932,3039.266602,2578.179333,122.65,140,3,96,174720.0,14406.7725,67.9351,198.1763,0.0,0.0,0.0,0.0,26,0.029268,0.995888,0.496106,0.500568,1.004019,0.398851,0.299163,0.29952,0.499989,0.049917,0.199232,0.299416,0.497895,0.402366,0.050069,0.001765,0.000376,0.000461,0.002137,0.000291,0.000202,0.000172,0.000438,5e-06,8.1e-05,0.000146,0.000519,0.000376,2.1e-05
160,203,246,43,43,0,0,0,11,8.183273,0.0,6028.38704,235.080805,3036.735921,2575.094639,138.79,160,3,93,199680.0,16488.009,87.0407,206.7693,0.0,0.0,0.0,0.0,26,0.034483,0.996059,0.496794,0.500875,1.002483,0.399257,0.29859,0.299736,0.499023,0.050021,0.199094,0.299256,0.496997,0.402405,0.049939,0.001734,0.000384,0.000432,0.002213,0.000371,0.000222,0.000182,0.000459,5e-06,8e-05,0.000152,0.00054,0.000373,2.3e-05
180,201,250,49,49,0,0,0,15,10.749159,0.0,6049.046291,235.264993,3033.985848,2570.644087,155.56,180,3,91,224640.0,18553.914,107.6484,213.9873,0.1438,0.0,0.0,0.0,26,0.034826,0.996089,0.496173,0.500127,1.002487,0.399011,0.298294,0.299646,0.498651,0.04999,0.199108,0.299149,0.496693,0.402636,0.050003,0.001721,0.000401,0.000428,0.002167,0.000361,0.000215,0.000186,0.000456,5e-06,7.9e-05,0.000148,0.000509,0.000364,2.3e-05
200,205,256,51,51,0,0,0,15,10.876158,0.0,6055.129806,239.234066,3029.889775,2564.599713,170.58,200,3,90,249600.0,20606.664,130.2499,220.4279,0.1438,0.0,0.0,0.0,75,0.043902,0.995719,0.495378,0.499952,1.003655,0.398638,0.298751,0.299388,0.498485,0.049949,0.198878,0.299492,0.496586,0.403741,0.049951,0.001721,0.000419,0.000465,0.002273,0.000358,0.000222,0.000193,0.000471,5e-06,8.2e-05,0.000161,0.000515,0.000388,2.4e-05
