tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.010204,2,1.007575,0.3088,0.379554,0.050316
20,1,2,0.010204,2,0.99394,0.297636,0.387542,0.048953
20,2,2,0.010204,2,1.005411,0.285707,0.405532,0.051962
20,3,2,0.010204,2,1.020279,0.310704,0.40625,0.046744
20,4,2,0.010204,2,0.964643,0.302976,0.371581,0.050694
20,5,2,0.010204,2,0.94604,0.310264,0.391287,0.04867
20,6,2,0.010204,2,1.008638,0.299047,0.397184,0.046421
20,7,2,0.010204,2,1.071806,0.312571,0.381386,0.047945
40,23,3,0.015228,3,0.938178,0.308732,0.375175,0.049345
40,0,2,0.010152,2,1.007575,0.3088,0.379554,0.050316
40,1,2,0.010152,2,0.99394,0.297636,0.387542,0.048953
40,2,2,0.010152,2,1.005411,0.285707,0.405532,0.051962
40,3,2,0.010152,2,1.020279,0.310704,0.40625,0.046744
40,4,2,0.010152,2,0.964643,0.302976,0.371581,0.050694
40,5,2,0.010152,2,0.94604,0.310264,0.391287,0.04867
40,6,2,0.010152,2,1.008638,0.299047,0.397184,0.046421
60,23,4,0.02,4,0.953886,0.308414,0.377945,0.048651
60,44,3,0.015,3,0.994453,0.294426,0.389262,0.048273
60,45,3,0.015,3,1.087604,0.294523,0.403076,0.047943
60,0,2,0.01,2,1.007575,0.3088,0.379554,0.050316
60,1,2,0.01,2,0.99394,0.297636,0.387542,0.048953
60,2,2,0.01,2,1.005411,0.285707,0.405532,0.051962
60,3,2,0.01,2,1.020279,0.310704,0.40625,0.046744
60,4,2,0.01,2,0.964643,0.302976,0.371581,0.050694
80,23,4,0.02,4,0.953886,0.308414,0.377945,0.048651
80,44,4,0.02,4,0.979767,0.298304,0.390143,0.049668
80,45,4,0.02,4,1.09448,0.294318,0.40247,0.048755
80,0,2,0.01,2,1.007575,0.3088,0.379554,0.050316
80,1,2,0.01,2,0.99394,0.297636,0.387542,0.048953
80,2,2,0.01,2,1.005411,0.285707,0.405532,0.051962
80,3,2,0.01,2,1.020279,0.310704,0.40625,0.046744
80,4,2,0.01,2,0.964643,0.302976,0.371581,0.050694
