seed,final_tick,population,max_generation,n_lineages,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate
1,40000,3337.0,134.0,48.0,0.851364,0.472989,0.60588,0.358145,1.732238,0.459955,3.314046,0.426423,0.556447,0.027282,0.156185,0.434281,0.698119,0.431066,0.162519
10,40000,4163.0,72.0,37.0,0.949075,0.335156,0.714575,0.209029,1.258921,0.65776,4.006768,0.30958,0.425278,0.101225,0.097096,0.341215,0.467688,0.299254,0.288468
11,40000,3535.0,159.0,39.0,0.926733,0.413423,0.96353,0.43863,2.06049,0.445845,4.215042,0.230484,0.538667,0.067851,0.144049,0.527352,0.503354,0.332489,0.214045
12,40000,3326.0,188.0,18.0,0.984666,0.410922,0.477949,0.501905,1.794065,0.440128,4.03023,0.683316,0.670287,0.111667,0.160426,0.273473,1.355424,0.515447,0.164653
13,40000,1299.0,90.0,70.0,0.17321,0.995668,0.501734,0.499146,1.178319,0.4145,1.179307,0.293359,0.454529,0.057397,0.2058,0.304336,0.540083,0.454628,0.072482
14,40000,3731.0,72.0,36.0,0.941571,0.35825,0.560384,0.259508,1.250819,0.549312,4.045574,0.749449,0.392721,0.117343,0.481102,0.25573,0.912581,0.59811,0.198454
2,40000,3790.0,75.0,12.0,0.988391,0.346957,0.875066,0.229793,2.269229,0.536356,4.584795,0.498542,0.334626,0.053757,0.057972,0.280474,1.614572,0.59256,0.181753
3,40000,3212.0,86.0,73.0,0.648194,0.55855,0.377349,0.448655,1.547576,0.557452,0.701662,0.284107,0.649641,0.056782,0.426544,0.193434,0.321613,0.59815,0.114538
4,40000,3277.0,151.0,14.0,0.976808,0.422068,0.493267,0.371356,1.364217,0.456789,4.637695,0.410273,0.41718,0.05272,0.367677,0.456451,0.732108,0.457608,0.216665
5,40000,1271.0,71.0,74.0,0.085759,0.973545,0.497156,0.499643,1.126662,0.426101,1.431157,0.294488,0.496079,0.053477,0.21967,0.313441,0.526688,0.470846,0.082049
6,40000,3142.0,146.0,34.0,0.928071,0.478845,0.773492,0.497935,2.869085,0.470126,4.284147,0.212534,0.427894,0.023522,0.10671,0.673105,0.555152,0.561503,0.166541
7,40000,1266.0,57.0,66.0,0.07188,0.960618,0.534475,0.560132,1.120717,0.434888,1.261854,0.293415,0.514859,0.046578,0.194475,0.316611,0.510274,0.460771,0.077403
8,40000,1228.0,58.0,71.0,0.188925,0.93207,0.456877,0.539579,1.145588,0.44307,1.054223,0.272013,0.459658,0.057377,0.195101,0.326526,0.522555,0.48838,0.062784
9,40000,3503.0,80.0,27.0,0.813588,0.411131,0.548196,0.297421,1.497553,0.474127,4.227576,0.645673,0.347793,0.043529,0.338984,0.225253,1.941959,0.430461,0.297174
15,40000,1352.0,61.0,67.0,0.142012,0.915629,0.520635,0.523255,1.110237,0.42568,1.601969,0.337179,0.498488,0.046358,0.201335,0.316772,0.541203,0.458516,0.084884
16,40000,1423.0,88.0,76.0,0.237526,0.932074,0.582129,0.492319,0.981984,0.4473,1.45741,0.330797,0.520155,0.052724,0.21002,0.300063,0.510614,0.510187,0.072859
17,40000,3049.0,59.0,59.0,0.86389,0.491141,0.609225,0.296627,3.072776,0.801979,2.426564,0.573964,0.294926,0.06356,0.148098,0.444756,0.393974,0.262498,0.130803
18,40000,3465.0,130.0,6.0,0.993651,0.398969,0.643237,0.220104,1.611561,0.484425,4.317329,0.427768,0.443339,0.129869,0.151625,0.287657,0.962835,0.513434,0.183322
19,40000,1524.0,75.0,68.0,0.394357,0.829311,0.414876,0.358895,1.109055,0.463283,2.095152,0.286271,0.385223,0.04253,0.298588,0.267948,0.658827,0.432363,0.113854
20,40000,3308.0,113.0,7.0,0.993954,0.454595,0.346053,0.284896,1.380612,0.476218,4.285213,0.29293,0.422117,0.04545,0.169646,0.398493,0.678793,0.574305,0.144025

median,,3244.5,83.0,43.5,0.857627,0.475917,0.541335,0.404993,1.372415,0.461619,3.660407,0.320188,0.448934,0.053617,0.194788,0.315026,0.548177,0.465808,0.153272
min,,1228.0,57.0,6.0,0.07188,0.335156,0.346053,0.209029,0.981984,0.4145,0.701662,0.212534,0.294926,0.023522,0.057972,0.193434,0.321613,0.262498,0.062784
max,,4163.0,188.0,76.0,0.993954,0.995668,0.96353,0.560132,3.072776,0.801979,4.637695,0.749449,0.670287,0.129869,0.481102,0.673105,1.941959,0.59815,0.297174
