tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.01005,2,1.020793,0.2929,0.405794,0.051326
20,1,2,0.01005,2,1.017927,0.289288,0.39111,0.049962
20,2,2,0.01005,2,0.972318,0.295844,0.396515,0.049187
20,3,2,0.01005,2,1.036683,0.307058,0.42506,0.050247
20,4,2,0.01005,2,1.002007,0.298446,0.37372,0.054584
20,5,2,0.01005,2,1.016318,0.294547,0.398886,0.049336
20,6,2,0.01005,2,0.982826,0.304495,0.409264,0.048287
20,7,2,0.01005,2,0.95184,0.314157,0.405524,0.047809
40,21,3,0.015,3,0.9391,0.31187,0.384642,0.06578
40,0,2,0.01,2,1.020793,0.2929,0.405794,0.051326
40,1,2,0.01,2,1.017927,0.289288,0.39111,0.049962
40,2,2,0.01,2,0.972318,0.295844,0.396515,0.049187
40,3,2,0.01,2,1.036683,0.307058,0.42506,0.050247
40,4,2,0.01,2,1.002007,0.298446,0.37372,0.054584
40,5,2,0.01,2,1.016318,0.294547,0.398886,0.049336
40,6,2,0.01,2,0.982826,0.304495,0.409264,0.048287
60,21,3,0.014563,3,0.9391,0.31187,0.384642,0.06578
60,30,3,0.014563,3,0.99654,0.304432,0.378021,0.044609
60,51,3,0.014563,3,0.961361,0.287527,0.406289,0.055077
60,53,3,0.014563,3,0.952038,0.299751,0.408793,0.047242
60,54,3,0.014563,3,1.046945,0.297963,0.390976,0.053684
60,55,3,0.014563,3,1.045646,0.30894,0.384928,0.050971
60,63,3,0.014563,3,1.062749,0.290576,0.393791,0.058498
60,0,2,0.009709,2,1.020793,0.2929,0.405794,0.051326
80,21,5,0.023697,5,0.922671,0.307909,0.387396,0.064789
80,51,4,0.018957,4,0.985881,0.293567,0.407308,0.053031
80,54,4,0.018957,4,1.033618,0.298695,0.390305,0.053357
80,55,4,0.018957,4,1.002315,0.305632,0.378233,0.053021
80,63,4,0.018957,4,1.054196,0.29425,0.398909,0.058452
80,30,3,0.014218,3,0.99654,0.304432,0.378021,0.044609
80,53,3,0.014218,3,0.952038,0.299751,0.408793,0.047242
80,86,3,0.014218,3,1.052398,0.301661,0.400078,0.050831
100,21,5,0.024876,5,0.922671,0.307909,0.387396,0.064789
100,63,5,0.024876,5,1.054563,0.290369,0.39492,0.061418
100,51,4,0.0199,4,0.985881,0.293567,0.407308,0.053031
100,54,4,0.0199,4,1.033618,0.298695,0.390305,0.053357
100,55,4,0.0199,4,1.002315,0.305632,0.378233,0.053021
100,30,3,0.014925,3,0.99654,0.304432,0.378021,0.044609
100,53,3,0.014925,3,0.952038,0.299751,0.408793,0.047242
100,74,3,0.014925,3,0.985034,0.319591,0.390898,0.050705
120,21,6,0.029126,6,0.917396,0.307011,0.386145,0.064474
120,63,6,0.029126,6,1.042965,0.287671,0.397561,0.061061
120,51,5,0.024272,5,0.98211,0.30036,0.402958,0.051314
120,30,4,0.019417,4,1.006319,0.306269,0.377092,0.044271
120,53,4,0.019417,4,0.938018,0.300998,0.416809,0.049463
120,54,4,0.019417,4,1.033618,0.298695,0.390305,0.053357
120,55,4,0.019417,4,1.002315,0.305632,0.378233,0.053021
120,67,4,0.019417,4,0.977876,0.312056,0.432481,0.048151
140,63,7,0.033493,7,1.032746,0.28645,0.396404,0.060379
140,21,6,0.028708,6,0.917396,0.307011,0.386145,0.064474
140,51,6,0.028708,6,0.975356,0.308855,0.400696,0.049937
140,54,6,0.028708,6,1.052002,0.300803,0.396405,0.051513
140,53,5,0.023923,5,0.956976,0.301519,0.419093,0.049114
140,30,4,0.019139,4,1.006319,0.306269,0.377092,0.044271
140,55,4,0.019139,4,1.002315,0.305632,0.378233,0.053021
140,67,4,0.019139,4,0.977876,0.312056,0.432481,0.048151
