tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5670.023105,130.608938,3149.391062,1898.47745,19.48,20,1,100,24960.0,1987.764,6.0245,50.6089,0.0,0.0,0.0,0.0,0,0.010204,0.998971,0.499957,0.50238,0.994971,0.399696,0.29836,0.299425,0.498491,0.049916,0.199549,0.299346,0.501758,0.401545,0.05031,0.001488,0.0004,0.000381,0.001443,0.000293,0.000167,0.000135,0.00039,4e-06,6.2e-05,0.000134,0.000366,0.000232,1.1e-05
40,196,196,0,0,0,0,0,0,0,0,6057.94459,191.920905,3088.079095,2285.418638,39.48,40,1,100,49920.0,4004.994,15.7347,111.9209,0.0,0.0,0.0,0.0,0,0.010204,0.998971,0.499957,0.50238,0.994971,0.399696,0.29836,0.299425,0.498491,0.049916,0.199549,0.299346,0.501758,0.401545,0.05031,0.001488,0.0004,0.000381,0.001443,0.000293,0.000167,0.000135,0.00039,4e-06,6.2e-05,0.000134,0.000366,0.000232,1.1e-05
60,207,207,0,0,0,0,0,0,0,0,6138.38611,232.659848,3047.340152,2467.431351,57.01,60,2,100,74880.0,6052.3935,28.4233,152.6598,0.0,0.0,0.0,0.0,31,0.019324,0.998204,0.498934,0.502739,0.993493,0.400332,0.298356,0.299418,0.498381,0.049957,0.199692,0.299028,0.502521,0.40066,0.050575,0.001631,0.000523,0.000412,0.001452,0.000364,0.000184,0.000143,0.000385,5e-06,7.4e-05,0.000133,0.00044,0.000265,1.6e-05
80,210,214,4,4,0,0,0,3,1.92507,0.0,6135.632583,239.417411,3038.657519,2539.940755,74.78,80,2,100,99840.0,8136.204,42.5894,164.203,0.0,0.0,0.0,0.0,1,0.02381,0.998223,0.498926,0.503256,0.993432,0.400612,0.298281,0.299782,0.498072,0.049973,0.199502,0.299135,0.502666,0.400718,0.05075,0.001644,0.000528,0.00043,0.001359,0.000363,0.000195,0.000154,0.000383,5e-06,7.5e-05,0.000136,0.000438,0.000246,1.7e-05
100,206,223,17,17,0,0,0,4,1.659534,0.0,6173.25109,233.495998,3044.844469,2567.190555,90.7,100,3,99,124800.0,10234.4385,56.7554,174.1348,0.0,0.0,0.0,0.0,1,0.024272,0.997021,0.498691,0.502229,0.993782,0.400869,0.298889,0.300106,0.497568,0.050042,0.199822,0.29925,0.502381,0.400139,0.050957,0.001512,0.000548,0.000467,0.001457,0.000372,0.000206,0.000155,0.00043,5e-06,8.8e-05,0.000143,0.000451,0.000246,1.8e-05
120,209,238,29,29,0,0,0,10,6.197404,0.0,6216.398588,232.645895,3041.156701,2577.180504,102.94,120,3,97,149760.0,12347.016,70.9215,187.3814,0.2832,0.0,0.0,0.0,1,0.028708,0.998595,0.499022,0.50155,0.99356,0.400822,0.298803,0.299474,0.497329,0.050131,0.199475,0.299292,0.503639,0.399531,0.051129,0.001638,0.000563,0.000487,0.001631,0.000417,0.000214,0.000176,0.000483,5e-06,9.3e-05,0.000143,0.000506,0.000286,1.9e-05
140,213,248,35,35,0,0,0,6,5.026597,0.0,6303.656131,240.372383,3034.601021,2580.817459,117.15,140,3,96,174720.0,14522.304,85.0875,202.3337,0.4825,0.0,0.0,0.0,1,0.028169,0.997851,0.498623,0.501355,0.994131,0.400597,0.299786,0.299398,0.498683,0.050122,0.199182,0.299662,0.504079,0.399318,0.051161,0.00165,0.000576,0.000496,0.00168,0.00044,0.000231,0.000194,0.000613,5e-06,0.000103,0.000161,0.000531,0.000292,2.1e-05
160,213,252,39,39,0,0,0,6,5.038192,0.0,6371.10443,248.042648,3026.91916,2582.142186,134.4,160,3,94,199680.0,16721.82,99.2536,214.8075,0.4825,0.0,0.0,0.0,1,0.028169,0.996859,0.498106,0.501117,0.994749,0.40063,0.299715,0.299412,0.499082,0.050086,0.19926,0.299683,0.503983,0.399486,0.051116,0.001692,0.000547,0.000505,0.001709,0.000441,0.000226,0.000193,0.000609,5e-06,0.000102,0.000162,0.00054,0.000302,2.1e-05
180,211,257,46,46,0,0,0,11,8.611852,0.0,6409.04077,247.147939,3024.240209,2582.626808,150.69,180,3,91,224640.0,18905.6295,113.4196,222.3639,0.6397,0.0,0.0,0.0,11,0.028436,0.996885,0.497794,0.50068,0.994699,0.40044,0.299835,0.299285,0.498803,0.050076,0.199394,0.299814,0.503731,0.399251,0.050999,0.001712,0.000539,0.000505,0.001837,0.000405,0.000219,0.00019,0.000624,5e-06,0.000104,0.000161,0.000533,0.000297,2.1e-05
200,212,262,50,50,0,0,0,12,9.953465,0.0,6453.062519,248.285144,3021.761391,2582.80539,166.42,200,3,90,249600.0,21102.957,127.5857,228.2619,0.6397,0.0,0.0,0.0,11,0.033019,0.997797,0.498039,0.500499,0.994772,0.40029,0.29961,0.299627,0.498833,0.050071,0.199446,0.300053,0.503388,0.399024,0.051002,0.001894,0.000533,0.000508,0.001823,0.000427,0.000217,0.00019,0.000626,5e-06,0.000104,0.000161,0.000535,0.00029,2.2e-05
220,215,268,53,53,0,0,0,11,7.679114,0.0,6498.232742,250.446412,3021.874474,2582.871877,180.98,220,3,90,274560.0,23295.567,141.7517,234.0464,0.6397,0.0,0.0,0.0,11,0.037209,0.997632,0.497375,0.499626,0.995299,0.40026,0.299535,0.299774,0.49839,0.050027,0.199294,0.300414,0.50258,0.398623,0.051154,0.001867,0.000546,0.000494,0.001867,0.000433,0.000218,0.000193,0.000637,6e-06,0.000104,0.000178,0.000532,0.000315,2.2e-05
240,218,275,57,57,0,0,0,13,7.366038,0.0,6508.503903,253.220885,3019.413077,2582.896973,194.8,240,3,90,299520.0,25488.177,155.9178,241.4082,0.7828,0.0,0.0,0.0,11,0.036697,0.999267,0.496722,0.500139,0.994128,0.400318,0.299751,0.299629,0.498246,0.049982,0.19923,0.300172,0.503073,0.399124,0.051111,0.001998,0.000571,0.000538,0.001935,0.000432,0.000216,0.00022,0.000633,6e-06,0.000107,0.000185,0.000581,0.00029,2.3e-05
260,214,281,67,67,0,0,0,18,11.482124,0.0,6518.546678,248.88918,3019.628697,2582.906616,208.93,260,3,87,324480.0,27670.6155,170.0838,248.9167,0.8071,0.0,0.0,0.0,11,0.037383,1.000146,0.496828,0.500389,0.994015,0.400029,0.300028,0.29933,0.498341,0.049928,0.198914,0.299826,0.503435,0.399074,0.051253,0.002115,0.000583,0.00053,0.001863,0.000395,0.000235,0.000213,0.000882,6e-06,0.000105,0.000196,0.000632,0.000309,2.4e-05
280,211,283,72,72,0,0,0,18,10.456411,0.0,6559.421902,249.625459,3019.91813,2583.993891,226.88,280,3,87,349440.0,29865.0555,183.0509,255.7733,0.8071,0.0,0.0,0.0,11,0.033175,0.999367,0.496682,0.49928,0.994655,0.399649,0.299876,0.299128,0.4985,0.049937,0.198859,0.299849,0.503015,0.399062,0.051133,0.002105,0.000573,0.000528,0.001857,0.000381,0.000231,0.000222,0.000887,6e-06,0.000101,0.0002,0.000597,0.000327,2.4e-05
300,209,285,76,76,0,0,0,20,8.875447,0.0,6625.006248,249.089817,3022.034736,2585.916723,245.0,300,3,87,374400.0,32068.6665,193.7913,259.566,1.1555,0.0,0.0,0.0,11,0.033493,1.000044,0.496202,0.499697,0.995133,0.399211,0.299815,0.299023,0.497917,0.049939,0.199095,0.299885,0.503106,0.398674,0.051057,0.002136,0.000555,0.000518,0.001907,0.000378,0.000234,0.000223,0.000877,6e-06,0.000103,0.0002,0.000602,0.000339,2.4e-05
320,210,290,80,80,0,0,0,22,9.728942,0.0,6687.011256,247.591218,3022.67984,2586.786959,259.02,320,3,87,399360.0,34274.8665,204.5317,262.8934,1.1555,0.0,0.0,0.0,11,0.038095,0.999681,0.496434,0.499419,0.995441,0.399222,0.300048,0.298641,0.498414,0.04997,0.199006,0.299669,0.502802,0.399044,0.051314,0.002178,0.000588,0.000528,0.002076,0.00037,0.000231,0.000217,0.000871,6e-06,0.000104,0.000208,0.000613,0.000367,2.3e-05
340,211,297,86,86,0,0,0,24,9.896802,0.0,6746.047903,246.53041,3023.572788,2587.165047,271.36,340,3,86,424320.0,36477.354,215.2721,268.8664,1.6378,0.0,0.0,0.0,11,0.037915,0.999068,0.496991,0.499962,0.996296,0.399284,0.300092,0.298602,0.49938,0.049987,0.199029,0.299579,0.502882,0.399193,0.05124,0.00218,0.00061,0.000545,0.002107,0.000371,0.000221,0.0002,0.00093,6e-06,0.000101,0.000219,0.000647,0.000381,2.3e-05
360,210,301,91,91,0,0,0,23,9.197924,0.0,6818.064036,246.390926,3024.41115,2587.512526,288.38,360,3,86,449280.0,38675.304,225.8263,274.4283,1.8361,0.0,0.0,0.0,11,0.033333,0.999738,0.497853,0.499237,0.998137,0.399084,0.30027,0.298881,0.498138,0.050065,0.199232,0.299401,0.502783,0.398991,0.051143,0.002249,0.00059,0.000545,0.002223,0.000364,0.000222,0.000197,0.000693,6e-06,0.000106,0.000224,0.000606,0.000408,2.2e-05
380,209,306,97,97,0,0,0,24,8.58745,0.0,6904.391866,244.00073,3027.41182,2590.20582,302.33,380,3,85,474240.0,40871.2125,232.8439,278.7389,2.2855,0.0,0.0,0.0,11,0.033493,0.99995,0.497527,0.498246,0.998343,0.399571,0.300434,0.298756,0.498178,0.050158,0.199285,0.299668,0.502882,0.398913,0.05115,0.002137,0.00061,0.000522,0.002215,0.000372,0.000232,0.000176,0.000694,6e-06,0.000104,0.000228,0.000591,0.000411,2.2e-05
400,210,310,100,100,0,0,0,24,9.146655,0.0,6982.977287,245.894426,3024.958919,2591.453784,317.27,400,3,85,499200.0,43075.8825,239.8614,284.3021,2.2855,0.0,0.0,0.0,89,0.033333,0.999331,0.497657,0.498772,0.998737,0.399248,0.300498,0.298695,0.498065,0.050151,0.199556,0.299813,0.502839,0.398504,0.051145,0.002129,0.000613,0.000517,0.002291,0.00037,0.000231,0.000177,0.0007,6e-06,0.000106,0.000222,0.000594,0.000411,2.1e-05
420,216,317,101,101,0,0,0,24,8.171096,0.0,7030.561496,250.650235,3021.178669,2592.000863,326.15,420,4,84,524160.0,45278.001,246.879,290.2498,2.2855,0.0,0.0,0.0,5,0.037037,1.000572,0.498214,0.499066,0.999449,0.399051,0.301128,0.298717,0.49877,0.050162,0.199949,0.299781,0.502999,0.398414,0.051116,0.002314,0.000627,0.000527,0.002364,0.000372,0.000247,0.000175,0.00072,6e-06,0.000114,0.000219,0.000603,0.000433,2.1e-05
440,218,324,106,106,0,0,0,25,8.101112,0.0,7069.7858,253.270628,3018.628259,2592.234804,338.35,440,4,84,549120.0,47506.1265,253.8965,298.4416,2.5913,0.0,0.0,0.0,5,0.036697,1.000826,0.497917,0.49952,0.998972,0.399301,0.301349,0.299361,0.499779,0.050118,0.200021,0.299835,0.503954,0.398978,0.05126,0.002413,0.00066,0.000519,0.002293,0.000396,0.000251,0.000179,0.000821,6e-06,0.000113,0.000222,0.000644,0.000396,2.1e-05
