tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,0,2,0.010309,2,1.005436,0.312919,0.390357,0.050916,1,554.259,233.099,2.92,0.0,0.9585,0.0,0.301921
20,2,2,0.010309,2,0.977233,0.294412,0.411546,0.046073,2,235.597,699.026,2.92,0.0,0.465,0.0,0.299937
20,3,2,0.010309,2,0.99154,0.297008,0.400638,0.05235,1,629.578,629.015,2.92,0.0,0.5385,0.0,0.296603
20,4,2,0.010309,2,1.042721,0.299865,0.402979,0.047281,2,38.709,542.957,2.954,0.0,0.6225,0.0,0.307322
20,5,2,0.010309,2,0.936513,0.289842,0.406799,0.05523,1,163.22,590.25,2.92,0.0,0.5805,0.0,0.277861
20,6,2,0.010309,2,1.001933,0.303654,0.404138,0.048265,1,648.031,657.621,2.92,0.0,0.5175,0.0,0.279892
20,7,2,0.010309,2,1.057745,0.324077,0.416127,0.052826,2,321.547,530.276,2.921,0.0,0.6435,0.0,0.294026
20,8,2,0.010309,2,0.987718,0.292291,0.382099,0.050783,1,428.264,702.501,2.921,0.0,0.4545,0.0,0.312631
40,29,3,0.015228,3,0.982121,0.300079,0.411086,0.041808,2,122.108,147.447,4.095,0.0,1.0425,0.0,0.284341
40,37,3,0.015228,3,0.942098,0.305707,0.392363,0.048497,2,143.308,216.356,3.04,0.0,0.9795,1.0,0.317548
40,64,3,0.015228,3,0.973094,0.302303,0.391948,0.048418,2,219.005,195.377,3.593,0.0,1.0005,0.0,0.299108
40,0,2,0.010152,2,1.005436,0.312919,0.390357,0.050916,1,554.259,233.099,2.92,0.0,0.9585,0.0,0.301921
40,2,2,0.010152,2,0.977233,0.294412,0.411546,0.046073,2,235.597,699.026,2.92,0.0,0.465,0.0,0.299937
40,3,2,0.010152,2,0.99154,0.297008,0.400638,0.05235,1,629.578,629.015,2.92,0.0,0.5385,0.0,0.296603
40,4,2,0.010152,2,1.042721,0.299865,0.402979,0.047281,2,38.709,542.957,2.954,0.0,0.6225,0.0,0.307322
40,5,2,0.010152,2,0.936513,0.289842,0.406799,0.05523,1,163.22,590.25,2.92,0.0,0.5805,0.0,0.277861
60,11,3,0.014851,3,1.019322,0.311098,0.392717,0.046933,3,578.427,61.772,3.378,0.0,1.1335,0.0,0.306641
60,21,3,0.014851,3,0.97642,0.313452,0.40524,0.049241,3,297.521,157.565,3.577,0.0,1.0355,0.0,0.287644
60,29,3,0.014851,3,0.982121,0.300079,0.411086,0.041808,2,122.108,147.447,4.095,0.0,1.0425,0.0,0.284341
60,37,3,0.014851,3,0.942098,0.305707,0.392363,0.048497,2,143.308,216.356,3.04,0.0,0.9795,1.0,0.317548
60,50,3,0.014851,3,0.959922,0.302457,0.419624,0.052394,2,281.402,82.844,3.261,0.0,1.1055,0.0,0.278184
60,64,3,0.014851,3,0.973094,0.302303,0.391948,0.048418,2,219.005,195.377,3.593,0.0,1.0005,0.0,0.299108
60,70,3,0.014851,3,1.04188,0.312346,0.386277,0.052006,2,646.454,160.209,3.012,0.0,1.0355,0.0,0.299578
60,73,3,0.014851,3,1.024291,0.325136,0.364446,0.055498,2,397.387,112.672,4.132,0.0,1.0845,0.0,0.295917
80,11,4,0.019512,4,1.009515,0.311262,0.390215,0.045176,3,577.948,60.134,3.989,0.0,1.137,0.0,0.30681
80,29,4,0.019512,4,0.98835,0.297406,0.40944,0.042845,3,121.991,145.134,5.404,0.0,1.04775,0.0,0.290444
80,50,4,0.019512,4,0.990128,0.300855,0.413071,0.053915,3,279.874,81.258,4.467,0.0,1.11075,0.0,0.274915
80,21,3,0.014634,3,0.97642,0.313452,0.40524,0.049241,3,297.521,157.565,3.577,0.0,1.0355,0.0,0.287644
80,37,3,0.014634,3,0.942098,0.305707,0.392363,0.048497,2,143.308,216.356,3.04,0.0,0.9795,1.0,0.317548
80,64,3,0.014634,3,0.973094,0.302303,0.391948,0.048418,2,219.005,195.377,3.593,0.0,1.0005,0.0,0.299108
80,70,3,0.014634,3,1.04188,0.312346,0.386277,0.052006,2,646.454,160.209,3.012,0.0,1.0355,0.0,0.299578
80,73,3,0.014634,3,1.024291,0.325136,0.364446,0.055498,2,397.387,112.672,4.132,0.0,1.0845,0.0,0.295917
100,11,5,0.024876,5,1.010055,0.313088,0.38448,0.045241,4,579.454,59.91,4.507,0.0,1.1391,0.0,0.308799
100,21,5,0.024876,5,0.983555,0.313008,0.401394,0.051176,3,296.116,156.187,5.833,0.0,1.0341,0.0,0.291929
100,37,5,0.024876,5,0.947309,0.29177,0.388258,0.046848,2,143.846,214.283,3.351,0.0,0.9795,1.0,0.308709
100,29,4,0.0199,4,0.98835,0.297406,0.40944,0.042845,3,121.991,145.134,5.404,0.0,1.04775,0.0,0.290444
100,50,4,0.0199,4,0.990128,0.300855,0.413071,0.053915,3,279.874,81.258,4.467,0.0,1.11075,0.0,0.274915
100,64,4,0.0199,4,1.000751,0.298598,0.39335,0.048855,3,220.605,196.813,4.583,0.0,0.99525,0.0,0.298935
100,82,4,0.0199,4,1.029574,0.295177,0.393215,0.052663,3,242.234,113.723,4.655,0.0,1.07925,0.0,0.299102
100,70,3,0.014925,3,1.04188,0.312346,0.386277,0.052006,2,646.454,160.209,3.012,0.0,1.0355,0.0,0.299578
120,11,7,0.034653,7,1.028657,0.312214,0.384919,0.046574,4,580.06,59.866,4.092,0.0,1.1385,0.0,0.30579
120,21,6,0.029703,6,0.993102,0.309138,0.401381,0.050204,3,297.976,156.798,6.603,0.0,1.0355,0.0,0.291312
120,37,5,0.024752,5,0.947309,0.29177,0.388258,0.046848,2,143.846,214.283,3.351,0.0,0.9795,1.0,0.308709
120,50,5,0.024752,5,0.982852,0.301129,0.414514,0.053205,3,278.169,81.208,5.133,0.0,1.1097,0.0,0.280749
