tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,8,3,0.014423,3,0.983192,0.300324,0.388982,0.043236,2,316.463,183.497,3.485,0.0,1.632222,0.0,0.320455
20,11,3,0.014423,3,1.02209,0.301038,0.403044,0.050762,2,203.25,57.348,3.147,0.0,1.733333,0.0,0.298483
20,13,3,0.014423,3,1.027308,0.307084,0.407384,0.054918,2,483.27,208.938,2.919,0.0,1.516667,0.0,0.296178
20,25,3,0.014423,3,1.0353,0.298824,0.404586,0.051156,2,179.821,134.771,3.337,0.0,1.733333,0.0,0.291828
20,28,3,0.014423,3,0.986487,0.312914,0.407117,0.052371,2,336.373,20.459,4.077,0.0,1.733333,0.0,0.301939
20,33,3,0.014423,3,0.969334,0.276245,0.374251,0.048685,2,714.967,219.882,3.912,0.0,1.487778,0.0,0.294779
20,42,3,0.014423,3,0.982445,0.290927,0.425516,0.048717,2,601.635,114.475,4.093,0.0,1.733333,0.0,0.315989
20,58,3,0.014423,3,1.016409,0.291803,0.398769,0.054699,2,599.61,128.9,4.039,0.0,1.733333,0.0,0.293895
40,11,4,0.018265,4,1.025384,0.301266,0.403742,0.050087,2,204.07,57.545,3.011,0.0,1.733333,0.0,0.291151
40,25,4,0.018265,4,1.011574,0.297978,0.404613,0.052628,2,178.265,135.609,4.052,0.0,1.733333,0.0,0.289654
40,28,4,0.018265,4,0.973629,0.311882,0.405961,0.050355,2,336.991,17.835,5.575,0.0,1.733333,0.0,0.307579
40,33,4,0.018265,4,0.974991,0.276089,0.376856,0.047188,3,717.165,221.175,5.161,0.0,1.473333,0.0,0.294425
40,42,4,0.018265,4,0.955117,0.292001,0.426577,0.051584,2,598.814,114.173,5.709,0.0,1.733333,0.0,0.320472
40,58,4,0.018265,4,0.99937,0.292068,0.391984,0.05312,2,599.787,127.565,4.153,0.0,1.733333,0.0,0.293841
40,60,4,0.018265,4,0.985091,0.298393,0.39667,0.045207,3,564.207,158.985,4.444,0.0,1.7225,0.0,0.310841
40,61,4,0.018265,4,1.011534,0.282334,0.392047,0.049193,2,522.633,33.503,4.214,0.0,1.733333,0.0,0.30087
60,60,6,0.028436,6,0.997762,0.298425,0.401542,0.043894,3,565.035,161.167,5.317,0.0,1.711667,0.0,0.317421
60,8,5,0.023697,5,0.948923,0.305319,0.389753,0.043125,2,315.104,183.081,3.973,0.0,1.638,0.0,0.327433
60,11,5,0.023697,5,1.033641,0.299841,0.399882,0.052727,2,204.265,58.688,3.471,0.0,1.733333,0.0,0.290641
60,13,5,0.023697,5,1.016497,0.306411,0.409303,0.05268,2,484.601,210.487,3.709,0.0,1.516667,0.0,0.301567
60,22,5,0.023697,5,0.978075,0.311688,0.390208,0.056978,2,221.876,228.207,5.165,0.0,1.43,0.0,0.309375
60,25,5,0.023697,5,1.032419,0.291184,0.405432,0.051884,2,180.004,134.264,5.272,0.0,1.733333,0.0,0.290467
60,28,5,0.023697,5,0.978788,0.30889,0.402725,0.050703,2,337.567,16.438,5.778,0.0,1.733333,0.0,0.305942
60,33,5,0.023697,5,0.978341,0.273909,0.378219,0.046545,3,717.423,220.32,4.884,0.0,1.482,0.0,0.293842
80,60,8,0.040816,8,1.001844,0.29625,0.39447,0.044265,4,562.421,161.228,6.353,0.0,1.711667,0.0,0.318183
80,33,7,0.035714,7,0.958954,0.281004,0.382406,0.046988,3,718.073,222.734,5.603,0.0,1.467143,0.0,0.292005
80,91,7,0.035714,7,1.091627,0.31695,0.413205,0.048617,4,98.109,20.041,4.399,0.0,1.733333,0.0,0.312778
80,8,5,0.02551,5,0.948923,0.305319,0.389753,0.043125,2,315.104,183.081,3.973,0.0,1.638,0.0,0.327433
80,11,5,0.02551,5,1.033641,0.299841,0.399882,0.052727,2,204.265,58.688,3.471,0.0,1.733333,0.0,0.290641
80,13,5,0.02551,5,1.016497,0.306411,0.409303,0.05268,2,484.601,210.487,3.709,0.0,1.516667,0.0,0.301567
80,22,5,0.02551,5,0.978075,0.311688,0.390208,0.056978,2,221.876,228.207,5.165,0.0,1.43,0.0,0.309375
80,25,5,0.02551,5,1.032419,0.291184,0.405432,0.051884,2,180.004,134.264,5.272,0.0,1.733333,0.0,0.290467
100,91,10,0.048544,10,1.091807,0.313487,0.410454,0.050013,4,99.065,19.304,4.843,0.0,1.733333,0.0,0.308866
100,33,8,0.038835,8,0.958074,0.281009,0.383905,0.046356,4,718.74,222.306,5.554,0.0,1.473333,0.0,0.292507
100,60,8,0.038835,8,1.001844,0.29625,0.39447,0.044265,4,562.421,161.228,6.353,0.0,1.711667,0.0,0.318183
100,8,6,0.029126,6,0.944912,0.305256,0.381476,0.043405,2,314.649,181.641,4.82,0.0,1.646667,0.0,0.332628
100,11,6,0.029126,6,1.032136,0.296032,0.398997,0.051299,2,204.61,58.138,3.387,0.0,1.733333,0.0,0.293096
100,13,6,0.029126,6,1.013605,0.308022,0.406706,0.051742,2,484.931,209.959,3.681,0.0,1.516667,0.0,0.301234
100,42,6,0.029126,6,0.953195,0.290879,0.432836,0.051995,2,597.511,112.459,5.919,0.0,1.733333,0.0,0.321987
100,58,6,0.029126,6,1.016047,0.290121,0.398966,0.053266,2,600.211,127.325,5.057,0.0,1.733333,0.0,0.294188
120,91,12,0.055556,12,1.091021,0.314582,0.412142,0.049195,4,99.054,19.619,4.959,0.0,1.733333,0.0,0.307751
120,33,9,0.041667,9,0.958914,0.280835,0.382344,0.046324,4,719.721,222.125,5.9,0.0,1.468519,0.0,0.293452
120,60,9,0.041667,9,0.996989,0.297102,0.397827,0.045222,4,562.884,161.656,6.222,0.0,1.709259,0.0,0.315628
120,13,7,0.032407,7,1.022368,0.306478,0.408636,0.051387,2,483.372,210.327,4.854,0.0,1.516667,0.0,0.302333
120,8,6,0.027778,6,0.944912,0.305256,0.381476,0.043405,2,314.649,181.641,4.82,0.0,1.646667,0.0,0.332628
120,11,6,0.027778,6,1.032136,0.296032,0.398997,0.051299,2,204.61,58.138,3.387,0.0,1.733333,0.0,0.293096
120,25,6,0.027778,6,1.024152,0.291399,0.408113,0.051377,2,180.634,133.913,5.029,0.0,1.733333,0.0,0.288854
120,28,6,0.027778,6,0.995726,0.3079,0.401587,0.050937,2,336.35,17.002,6.035,0.0,1.733333,0.0,0.307243
140,91,12,0.054299,12,1.091021,0.314582,0.412142,0.049195,4,99.054,19.619,4.959,0.0,1.733333,0.0,0.307751
140,60,11,0.049774,11,1.006378,0.298396,0.388485,0.046027,4,562.518,161.26,5.609,0.0,1.709697,0.0,0.318587
140,33,10,0.045249,10,0.955801,0.281665,0.382868,0.045831,4,719.862,222.362,5.561,0.0,1.464667,0.0,0.294114
140,13,7,0.031674,7,1.022368,0.306478,0.408636,0.051387,2,483.372,210.327,4.854,0.0,1.516667,0.0,0.302333
140,16,7,0.031674,7,1.008121,0.30393,0.404684,0.048871,4,758.25,282.775,4.854,0.0,1.194762,0.0,0.300107
140,8,6,0.027149,6,0.944912,0.305256,0.381476,0.043405,2,314.649,181.641,4.82,0.0,1.646667,0.0,0.332628
140,11,6,0.027149,6,1.032136,0.296032,0.398997,0.051299,2,204.61,58.138,3.387,0.0,1.733333,0.0,0.293096
140,25,6,0.027149,6,1.024152,0.291399,0.408113,0.051377,2,180.634,133.913,5.029,0.0,1.733333,0.0,0.288854
160,91,13,0.056034,13,1.104804,0.317178,0.413879,0.048948,4,99.41,20.426,5.412,0.0,1.733333,0.0,0.308319
160,33,12,0.051724,12,0.953767,0.282882,0.386612,0.045353,4,720.307,222.368,5.422,0.0,1.458889,0.0,0.292479
160,60,12,0.051724,12,1.00693,0.300968,0.389651,0.046203,4,562.018,160.957,5.735,0.0,1.711667,0.0,0.318712
160,13,7,0.030172,7,1.022368,0.306478,0.408636,0.051387,2,483.372,210.327,4.854,0.0,1.516667,0.0,0.302333
160,16,7,0.030172,7,1.008121,0.30393,0.404684,0.048871,4,758.25,282.775,4.854,0.0,1.194762,0.0,0.300107
160,28,7,0.030172,7,1.008284,0.314961,0.410654,0.051797,2,335.367,17.978,6.482,0.0,1.733333,0.0,0.30191
160,87,7,0.030172,7,0.998103,0.303726,0.414204,0.048418,2,491.23,138.945,4.609,0.0,1.733333,0.0,0.291652
160,8,6,0.025862,6,0.944912,0.305256,0.381476,0.043405,2,314.649,181.641,4.82,0.0,1.646667,0.0,0.332628
180,60,14,0.056452,14,1.005821,0.30215,0.386625,0.045541,4,562.611,160.698,6.162,0.0,1.711667,0.0,0.317867
180,91,14,0.056452,14,1.103523,0.316016,0.412863,0.04898,4,99.277,19.767,5.676,0.0,1.733333,0.0,0.307979
180,33,13,0.052419,13,0.950907,0.2833,0.38552,0.045405,4,720.966,222.018,5.752,0.0,1.463333,0.0,0.292174
180,16,10,0.040323,10,0.998996,0.302359,0.402317,0.047782,4,759.608,283.231,6.207,0.0,1.196,0.0,0.299089
180,42,8,0.032258,8,0.960931,0.289855,0.431713,0.052888,2,597.999,111.943,5.676,0.0,1.733333,0.0,0.317067
180,25,7,0.028226,7,1.013541,0.289402,0.407668,0.052782,2,180.31,133.812,4.632,0.0,1.733333,0.0,0.284096
180,28,7,0.028226,7,1.008284,0.314961,0.410654,0.051797,2,335.367,17.978,6.482,0.0,1.733333,0.0,0.30191
180,87,7,0.028226,7,0.998103,0.303726,0.414204,0.048418,2,491.23,138.945,4.609,0.0,1.733333,0.0,0.291652
200,60,16,0.063241,16,1.002969,0.301315,0.385459,0.045735,4,562.12,160.785,6.439,0.0,1.711667,0.0,0.31686
200,91,15,0.059289,15,1.11856,0.318155,0.413987,0.048663,4,99.614,19.705,5.619,0.0,1.733333,0.0,0.308442
200,33,13,0.051383,13,0.950907,0.2833,0.38552,0.045405,4,720.966,222.018,5.752,0.0,1.463333,0.0,0.292174
200,16,10,0.039526,10,0.998996,0.302359,0.402317,0.047782,4,759.608,283.231,6.207,0.0,1.196,0.0,0.299089
200,25,8,0.031621,8,1.018216,0.288196,0.406252,0.053163,2,180.753,133.808,4.456,0.0,1.733333,0.0,0.285757
200,42,8,0.031621,8,0.960931,0.289855,0.431713,0.052888,2,597.999,111.943,5.676,0.0,1.733333,0.0,0.317067
200,11,7,0.027668,7,1.039667,0.299601,0.405156,0.050983,2,205.011,58.884,3.713,0.0,1.733333,0.0,0.291228
200,28,7,0.027668,7,1.008284,0.314961,0.410654,0.051797,2,335.367,17.978,6.482,0.0,1.733333,0.0,0.30191
220,60,17,0.066929,17,1.005282,0.302266,0.384209,0.046342,4,561.508,161.024,6.704,0.0,1.710392,0.0,0.315564
220,91,15,0.059055,16,1.132634,0.320808,0.417462,0.048128,4,100.169,20.284,5.488,0.0,1.733333,0.0,0.309051
220,33,13,0.051181,13,0.950907,0.2833,0.38552,0.045405,4,720.966,222.018,5.752,0.0,1.463333,0.0,0.292174
220,16,10,0.03937,11,1.003605,0.304177,0.398108,0.046877,4,760.839,282.712,6.122,0.0,1.204667,0.0,0.295048
220,25,8,0.031496,8,1.018216,0.288196,0.406252,0.053163,2,180.753,133.808,4.456,0.0,1.733333,0.0,0.285757
220,42,8,0.031496,8,0.960931,0.289855,0.431713,0.052888,2,597.999,111.943,5.676,0.0,1.733333,0.0,0.317067
