tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,208,208,0,0,0,0,0,0,0,0,5795.278133,130.999483,3149.000517,1681.596322,18.5,20,1,100,24960.0,2143.7646,2.8764,50.9995,0.0,0.0,0.0,0.0,8,0.014423,42,115,51,0.201923,0.552885,0.245192,0.867292,2,0.009615,0.00063,0.997058,0.499993,0.5001,0.99986,0.399629,0.299639,0.300755,0.502383,0.049907,0.199857,0.30011,0.498071,0.401145,0.050358,0.001613,0.000308,0.000481,0.002068,0.000327,0.000179,0.000146,0.000515,5e-06,5.6e-05,0.000142,0.000305,0.000285,1.5e-05
40,219,219,0,0,0,0,0,0,0,0,6349.973815,195.214397,3084.785603,2026.063055,36.74,40,2,100,49920.0,4395.822,7.5013,115.2144,0.0,0.0,0.0,0.0,11,0.018265,50,119,50,0.228311,0.543379,0.228311,0.90446,2,0.009132,0.036606,0.995539,0.500666,0.499744,1.001005,0.399867,0.299196,0.300786,0.503712,0.049901,0.19972,0.299733,0.497783,0.400866,0.050258,0.001743,0.000369,0.000504,0.002357,0.000382,0.000185,0.000157,0.000558,5e-06,5.9e-05,0.000143,0.000325,0.000289,1.6e-05
60,211,241,30,30,0,0,0,29,32.197726,0.0,6541.425325,210.788577,3037.013697,2188.653988,51.6,60,2,94,74880.0,6696.6875,13.484,166.0469,0.0887,0.0,0.0,0.0,60,0.028436,57,132,22,0.270142,0.625592,0.104265,1.097093,2,0.009479,0.095334,0.996019,0.501627,0.498759,1.002965,0.401773,0.299003,0.301832,0.502989,0.050084,0.199687,0.29875,0.497823,0.399763,0.050074,0.001914,0.000507,0.00062,0.002941,0.00039,0.000191,0.000189,0.000601,5e-06,6.3e-05,0.000148,0.00039,0.000297,1.6e-05
80,196,257,61,61,0,0,0,60,57.03945,0.0,7068.675072,200.226863,3022.733687,2254.834724,65.14,80,3,72,99840.0,9033.0826,18.8507,192.0097,0.1597,0.0,0.0,0.0,60,0.040816,65,128,3,0.331633,0.653061,0.015306,1.299558,1,0.005102,0.022099,0.998081,0.501639,0.498905,1.006221,0.400926,0.298893,0.301813,0.503377,0.05009,0.199453,0.299166,0.496449,0.399893,0.050115,0.002556,0.000567,0.000632,0.003288,0.000457,0.000223,0.000204,0.000656,6e-06,7e-05,0.00018,0.00057,0.000326,1.8e-05
100,206,274,68,68,0,0,0,62,54.542292,0.0,7545.665889,217.065706,3008.392002,2282.413153,78.3,100,3,68,124800.0,11436.4637,20.5689,217.2374,0.1597,0.0,0.0,0.0,91,0.048544,76,130,0,0.368932,0.631068,0.0,1.363107,0,0.0,0.009514,0.998575,0.502209,0.499123,1.007201,0.400631,0.299233,0.301798,0.502684,0.049928,0.199119,0.299618,0.496119,0.400469,0.050014,0.003008,0.000572,0.000626,0.003274,0.000486,0.000244,0.000221,0.000731,6e-06,7.5e-05,0.000201,0.000586,0.000357,2.2e-05
120,216,288,72,72,0,0,0,64,52.129714,0.0,7957.806313,235.247368,2992.622918,2293.599023,92.19,120,3,65,149760.0,13903.6457,20.5689,240.2955,0.1597,0.0,0.0,0.0,91,0.055556,81,135,0,0.375,0.625,0.0,1.396096,0,0.0,0.002007,0.99846,0.502586,0.497714,1.007765,0.40015,0.299319,0.301659,0.50328,0.049939,0.199017,0.299095,0.496435,0.400916,0.049964,0.003278,0.000605,0.000637,0.003592,0.000506,0.000252,0.00022,0.000773,6e-06,7.4e-05,0.000216,0.000589,0.000361,2.2e-05
140,221,296,75,75,0,0,0,63,46.859027,0.0,8318.375665,248.533373,2984.6076,2297.692182,108.15,140,4,65,174720.0,16428.0724,20.5689,257.2208,0.1597,0.0,0.0,0.0,91,0.054299,82,139,0,0.371041,0.628959,0.0,1.406471,0,0.0,0.00218,0.998429,0.503408,0.49811,1.007553,0.399765,0.299536,0.301894,0.502988,0.049954,0.198747,0.299146,0.49567,0.400594,0.049901,0.00324,0.00063,0.000635,0.003451,0.000542,0.000248,0.000226,0.000764,7e-06,7.5e-05,0.000219,0.000598,0.000389,2.2e-05
160,232,309,77,77,0,0,0,65,44.645736,0.0,8600.514824,258.742125,2976.612139,2299.17095,121.12,160,4,63,199680.0,18962.0757,20.5689,269.8562,0.1597,0.0,0.0,0.0,91,0.056034,88,144,0,0.37931,0.62069,0.0,1.423276,0,0.0,0.0,1.000131,0.503746,0.498658,1.007865,0.399389,0.300263,0.30168,0.502598,0.04997,0.198845,0.299328,0.495164,0.401545,0.049799,0.003519,0.000718,0.000643,0.00384,0.000573,0.000277,0.000227,0.00081,7e-06,8.2e-05,0.000225,0.000628,0.000419,2.3e-05
180,248,328,80,80,0,0,0,68,43.818898,0.0,8757.740878,270.254972,2965.92613,2299.702573,130.67,180,4,61,224640.0,21490.0991,20.5689,284.9706,0.1597,0.0,0.0,0.0,60,0.056452,94,154,0,0.379032,0.620968,0.0,1.426855,0,0.0,0.0,0.999088,0.503582,0.498593,1.00831,0.398871,0.300292,0.30172,0.502342,0.05,0.198357,0.299658,0.495205,0.401127,0.049768,0.003753,0.000722,0.000657,0.003957,0.000615,0.000284,0.000239,0.000889,7e-06,9.2e-05,0.000235,0.000669,0.00042,2.5e-05
200,253,334,81,81,0,0,0,68,39.416953,0.0,8794.57854,288.462648,2952.120399,2299.893348,147.13,200,4,61,249600.0,24019.8991,20.5689,304.3786,0.1597,0.0,0.0,0.0,60,0.063241,98,155,0,0.387352,0.612648,0.0,1.432398,0,0.0,0.000279,1.000997,0.503129,0.498734,1.007915,0.398588,0.300304,0.301806,0.50255,0.049972,0.198405,0.299734,0.494976,0.401329,0.04974,0.004157,0.000728,0.000687,0.003978,0.000612,0.000291,0.000242,0.000878,7e-06,9.1e-05,0.000231,0.000661,0.000427,2.4e-05
