condition,seed,final_tick,final_pop,completed,mean_body_size,vent_frac_mean,hi_q_frac_mean,move_mean,q_mean,dq_abs_mean,sigma_eff_mean,light_flow_cum,chem_flow_cum,light_supply_cum,deaths_starvation,n_lineages,band_d0_1_n,band_d0_1_chem_e,band_d0_1_light_e,band_d0_1_sigma,band_d1_2_n,band_d1_2_chem_e,band_d1_2_light_e,band_d1_2_sigma,band_d2_4_n,band_d2_4_chem_e,band_d2_4_light_e,band_d2_4_sigma,band_d4plus_n,band_d4plus_chem_e,band_d4plus_light_e,band_d4plus_sigma
b1_light_only_lightspec_control,1,9320,6860,False,0.216679,0.0,0.436382,0.926851,0.371559,0.000985,0.5,8124322.5475,0.0,11631360.0,29841,3,55528.0,0.0,15820.0699,0.5,459470.0,0.0,124203.6286,0.5,1543827.0,0.0,422346.5343,0.5,26783031.0,0.0,7561952.3138,0.5
b1_light_only_lightspec_control,2,8760,6854,False,0.216257,0.0,0.446484,0.860209,0.372429,0.000903,0.5,7773604.3389,0.0,10932480.0,34463,3,85728.0,0.0,24685.4951,0.5,696898.0,0.0,197245.9799,0.5,3110715.0,0.0,878236.7205,0.5,24719517.0,0.0,6673436.1424,0.5
b1_light_only_lightspec_control,3,9500,6735,False,0.214804,0.0,0.464227,0.86909,0.376333,0.000904,0.5,8121240.8715,0.0,11856000.0,33707,2,78731.0,0.0,22234.5501,0.5,641378.0,0.0,181344.526,0.5,2851197.0,0.0,818738.1098,0.5,25359880.0,0.0,7098923.6852,0.5
b1_light_only_lightspec_control,4,9200,6821,False,0.214539,0.0,0.461573,0.868101,0.375149,0.000904,0.5,7882558.2306,0.0,11481600.0,28990,2,55393.0,0.0,15226.0325,0.5,435779.0,0.0,120950.7897,0.5,1613188.0,0.0,438300.8359,0.5,25595132.0,0.0,7308080.5727,0.5
b2_chem_only_chemspec_control,1,10000,134,True,0.458054,0.847229,1.0,0.577572,0.14473,0.02645,0.5,0.0,349036.5191,0.0,1616,2,71351.0,33555.2777,0.0,0.5,461947.0,257943.5156,0.0,0.5,204926.0,57537.7239,0.0,0.5,1637.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,2,5409,0,False,nan,0.672777,0.99631,0.724585,0.177855,0.033239,0.5,0.0,46155.6704,0.0,362,0,6699.0,5127.4863,0.0,0.5,40159.0,31579.4871,0.0,0.5,32343.0,9448.6967,0.0,0.5,753.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,3,10000,56,True,0.856156,0.79598,1.0,0.494029,0.148724,0.026952,0.5,0.0,220688.0599,0.0,992,3,33885.0,23145.4746,0.0,0.5,213545.0,151649.1598,0.0,0.5,129286.0,45893.4258,0.0,0.5,1139.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,4,10000,49,True,0.920189,0.777722,1.0,0.64449,0.163995,0.032573,0.5,0.0,255895.3103,0.0,1153,3,46088.0,30664.243,0.0,0.5,226660.0,167437.3866,0.0,0.5,162527.0,57793.6839,0.0,0.5,2514.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,5,10000,32,True,0.753925,0.759762,1.0,0.693641,0.16895,0.03449,0.5,0.0,160171.9187,0.0,902,2,33286.0,20787.2375,0.0,0.5,139283.0,99372.7355,0.0,0.5,117517.0,40011.9487,0.0,0.5,2776.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,6,5394,0,False,nan,0.716879,0.996296,0.647813,0.171424,0.035056,0.5,0.0,31103.6497,0.0,276,0,5495.0,3818.6285,0.0,0.5,28383.0,21097.779,0.0,0.5,19503.0,6187.2436,0.0,0.5,616.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,7,10000,46,True,0.933775,0.770822,1.0,0.560693,0.159401,0.029752,0.5,0.0,206491.3531,0.0,1064,3,29775.0,21291.5738,0.0,0.5,184942.0,142510.3161,0.0,0.5,125474.0,42689.4649,0.0,0.5,1515.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,8,10000,37,True,0.791313,0.790864,1.0,0.563662,0.158222,0.02959,0.5,0.0,209594.1891,0.0,986,2,42079.0,26456.1917,0.0,0.5,187248.0,132435.1963,0.0,0.5,139397.0,50702.7986,0.0,0.5,2296.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,9,10000,48,True,0.442733,0.784707,1.0,0.630219,0.149259,0.029534,0.5,0.0,138763.7041,0.0,785,1,24042.0,13957.1966,0.0,0.5,157137.0,99587.696,0.0,0.5,86144.0,25218.8148,0.0,0.5,2290.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,10,10000,89,True,0.614597,0.77965,1.0,0.573054,0.149321,0.02777,0.5,0.0,290021.8131,0.0,1697,3,56055.0,32299.841,0.0,0.5,322348.0,198855.2229,0.0,0.5,203178.0,58866.7484,0.0,0.5,2233.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,11,10000,56,True,0.659481,0.79691,1.0,0.543799,0.149369,0.027773,0.5,0.0,187407.701,0.0,924,2,28508.0,18860.3595,0.0,0.5,200065.0,134081.834,0.0,0.5,110095.0,34465.5088,0.0,0.5,1269.0,0.0,0.0,0.5
