condition,seed,final_tick,final_pop,completed,vent_frac_mean,hi_q_frac_mean,move_mean,sigma_eff_mean,dq_abs_mean,chem_flow_cum,deaths_starvation
b2_chem_only_chemspec_control,1,10000,134,True,0.847229,1.0,0.577572,0.5,0.02645,349036.5191,1616
b2_chem_only_chemspec_control,2,5409,0,False,0.672777,0.99631,0.724585,0.5,0.033239,46155.6704,362
b2_chem_only_chemspec_control,3,10000,56,True,0.79598,1.0,0.494029,0.5,0.026952,220688.0599,992
b2_chem_only_chemspec_control,4,10000,49,True,0.777722,1.0,0.64449,0.5,0.032573,255895.3103,1153
b2_chem_only_chemspec_control,5,10000,32,True,0.759762,1.0,0.693641,0.5,0.03449,160171.9187,902
b2_chem_only_chemspec_control,6,5394,0,False,0.716879,0.996296,0.647813,0.5,0.035056,31103.6497,276
b2_chem_only_chemspec_control,7,10000,46,True,0.770822,1.0,0.560693,0.5,0.029752,206491.3531,1064
b2_chem_only_chemspec_control,8,10000,37,True,0.790864,1.0,0.563662,0.5,0.02959,209594.1891,986
b2_chem_only_chemspec_control,9,10000,48,True,0.784707,1.0,0.630219,0.5,0.029534,138763.7041,785
b2_chem_only_chemspec_control,10,10000,89,True,0.77965,1.0,0.573054,0.5,0.02777,290021.8131,1697
b2_chem_only_chemspec_control,11,10000,56,True,0.79691,1.0,0.543799,0.5,0.027773,187407.701,924
b2_chem_only_chemspec_control,12,10000,134,True,0.743851,1.0,0.706566,0.5,0.029504,280580.434,2061
b2_chem_only_chemspec_control,13,10000,102,True,0.8177,1.0,0.561831,0.5,0.027561,261142.4091,1412
b2_chem_only_chemspec_control,14,10000,39,True,0.757055,1.0,0.582554,0.5,0.029554,172013.6334,1014
b2_chem_only_chemspec_control,15,10000,124,True,0.786755,1.0,0.587851,0.5,0.027855,326013.4981,1913
b2_chem_only_chemspec_control,16,10000,24,True,0.759987,1.0,0.566483,0.5,0.029132,142641.9687,786
b2_chem_only_chemspec_control,17,10000,20,True,0.795723,1.0,0.505468,0.5,0.028181,177616.01,785
b2_chem_only_chemspec_control,18,10000,73,True,0.779992,1.0,0.605662,0.5,0.030311,244821.8784,1237
b2_chem_only_chemspec_control,19,10000,15,True,0.746216,1.0,0.619378,0.5,0.031939,129769.3975,679
b2_chem_only_chemspec_control,20,10000,122,True,0.830448,1.0,0.547591,0.5,0.024958,331978.2251,1776
b2_chem_only_chemspec_treatment,1,10000,103,True,0.888442,1.0,0.695057,0.523482,0.028213,505934.2322,1152
b2_chem_only_chemspec_treatment,2,10000,117,True,0.846047,1.0,0.639954,0.526792,0.027066,470608.155,1484
b2_chem_only_chemspec_treatment,3,10000,111,True,0.841672,1.0,0.672017,0.528174,0.028483,457894.253,1376
b2_chem_only_chemspec_treatment,4,10000,105,True,0.860488,1.0,0.688285,0.526807,0.028958,483582.9102,1185
b2_chem_only_chemspec_treatment,5,10000,107,True,0.846708,1.0,0.713942,0.528498,0.029012,482498.0123,1346
b2_chem_only_chemspec_treatment,6,10000,94,True,0.836584,1.0,0.713232,0.528,0.029469,456692.9152,1313
b2_chem_only_chemspec_treatment,7,10000,82,True,0.834564,1.0,0.727525,0.528659,0.029679,455986.2001,1279
b2_chem_only_chemspec_treatment,8,10000,113,True,0.849601,1.0,0.671029,0.528071,0.028406,482285.1699,1378
b2_chem_only_chemspec_treatment,9,9140,98,False,0.839977,1.0,0.704069,0.528797,0.029007,428083.2552,1314
b2_chem_only_chemspec_treatment,10,8620,115,False,0.843927,1.0,0.739578,0.529384,0.029209,403999.8789,1283
b2_chem_only_chemspec_treatment,11,9500,91,False,0.849579,1.0,0.699581,0.527767,0.02949,431968.656,1234
b2_chem_only_chemspec_treatment,12,7520,95,False,0.851464,1.0,0.686344,0.526893,0.028473,354336.9628,986
